fangdatum;waegedatum;weiher;geschlecht;gewicht
28.03.2021;28.03.2021;BL196;W;5.22
28.03.2021;28.03.2021;BL196;W;4.56
28.03.2021;28.03.2021;BL198;W;5.98
28.03.2021;28.03.2021;BL198;J;2.28
28.03.2021;28.03.2021;BL198;J;3.06
28.03.2021;28.03.2021;BL198;M;4.24
28.03.2021;28.03.2021;BL198;M;5.8
27.03.2021;28.03.2021;BL198;M;3.38
27.03.2021;28.03.2021;BL198;W;5.54
27.03.2021;28.03.2021;BL198;M;7.94
27.03.2021;28.03.2021;BL198;M;3.3
27.03.2021;28.03.2021;BL198;W;7.02
27.03.2021;28.03.2021;BL198;M;5.5
27.03.2021;28.03.2021;BL198;W;7.98
27.03.2021;28.03.2021;BL198;M;4.68
27.03.2021;28.03.2021;BL198;W;6.86
27.03.2021;28.03.2021;BL198;M;4.1
27.03.2021;28.03.2021;BL198;W;3.64
27.03.2021;28.03.2021;BL198;M;4.34
27.03.2021;28.03.2021;BL198;W;9.22
27.03.2021;28.03.2021;BL198;W;4.32
27.03.2021;28.03.2021;BL198;M;5.06
27.03.2021;28.03.2021;BL198;W;7.46
27.03.2021;28.03.2021;BL198;W;4.74
27.03.2021;28.03.2021;BL198;W;5.16
27.03.2021;28.03.2021;BL198;M;5.5
27.03.2021;28.03.2021;BL198;J;3.36
27.03.2021;28.03.2021;BL198;J;2.98
27.03.2021;28.03.2021;BL198;M;3.72
27.03.2021;28.03.2021;BL198;W;4.52
27.03.2021;28.03.2021;BL198;W;7.12
27.03.2021;28.03.2021;BL198;W;11.6
27.03.2021;28.03.2021;BL198;W;6.22
27.03.2021;28.03.2021;BL198;W;7.82
27.03.2021;28.03.2021;BL198;M;4.68
27.03.2021;28.03.2021;BL198;W;6.22
27.03.2021;28.03.2021;BL198;W;9.46
27.03.2021;28.03.2021;BL196;W;6.04
27.03.2021;28.03.2021;BL196;J;3.26
27.03.2021;28.03.2021;BL196;W;7.92
27.03.2021;28.03.2021;BL196;W;7.68
27.03.2021;28.03.2021;BL196;W;4.72
27.03.2021;28.03.2021;BL196;M;4.08
27.03.2021;28.03.2021;BL196;M;4.68
27.03.2021;28.03.2021;BL196;W;10.64
27.03.2021;28.03.2021;BL196;W;9.46
27.03.2021;28.03.2021;BL196;W;8.1
27.03.2021;28.03.2021;BL196;W;6.96
27.03.2021;28.03.2021;BL196;M;5.26
27.03.2021;28.03.2021;BL196;M;4.02
27.03.2021;28.03.2021;BL196;W;4.82
27.03.2021;28.03.2021;BL196;W;8.02
27.03.2021;28.03.2021;BL196;M;5.16
27.03.2021;28.03.2021;BL196;J;2.48
27.03.2021;28.03.2021;BL196;M;7.82
27.03.2021;28.03.2021;BL196;J;1.62
27.03.2021;28.03.2021;BL196;M;5.68
27.03.2021;28.03.2021;BL196;M;6.82
27.03.2021;28.03.2021;BL196;J;2.78
27.03.2021;28.03.2021;BL196;J;3.24
27.03.2021;28.03.2021;BL196;W;9.68
27.03.2021;28.03.2021;BL196;W;6.7
27.03.2021;28.03.2021;BL196;W;9.8
27.03.2021;28.03.2021;BL196;W;7.2
27.03.2021;28.03.2021;BL196;M;4.64
27.03.2021;28.03.2021;BL196;J;2
27.03.2021;28.03.2021;BL196;W;8.04
27.03.2021;28.03.2021;BL196;M;5.14
27.03.2021;28.03.2021;BL196;W;7.58
13.03.2021;28.03.2021;BL196;W;10
13.03.2021;28.03.2021;BL196;M;4.6
13.03.2021;28.03.2021;BL196;M;8.7
