Datum;Gewässer;Methode;Gattung;Art;Geschlecht;Anzahl;Fundort;Bearbeiter;Bemerkungen;;;;;;
06.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Furrer_Graziano;;;;;;;
06.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Furrer_Graziano;;;;;;;
06.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Furrer_Graziano;;;;;;;
06.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Furrer_Graziano;;;;;;;
06.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Furrer_Graziano;;;;;;;
06.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Furrer_Graziano;;;;;;;
06.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Furrer_Graziano;;;;;;;
07.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Studer;;;;;;;
07.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Studer;;;;;;;
07.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Studer;;;;;;;
07.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel;Studer;;;;;;;
07.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Studer;;;;;;;
07.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Studer;;;;;;;
07.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Studer;;;;;;;
07.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Studer;;;;;;;
07.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel;Studer;;;;;;;
07.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;3;Kessel;Studer;;;;;;;
07.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Studer;;;;;;;
07.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Studer;;;;;;;
08.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Stauffer;;;;;;;
08.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Stauffer;;;;;;;
09.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Eichhorn_Stoeckli;;;;;;;
09.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Eichhorn_Stoeckli;;;;;;;
10.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier;;;;;;;
10.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier;;;;;;;
11.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Mangold;;;;;;;
11.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Mangold;;;;;;;
11.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Mangold;;;;;;;
11.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel;Mangold;;;;;;;
11.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Mangold;;;;;;;
11.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Mangold;;;;;;;
11.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel;Mangold;;;;;;;
11.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;2;Kessel;Mangold;;;;;;;
11.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Mangold;;;;;;;
11.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;6;Kessel;Mangold;;;;;;;
11.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;3;Kessel;Mangold;;;;;;;
11.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel;Mangold;;;;;;;
12.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier_Schmidt;;;;;;;
12.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier_Schmidt;;;;;;;
13.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Zehnder;;;;;;;
13.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Zehnder;;;;;;;
