current_date,probabilityCatch,sum((offspring where each.isEgg) collect each.count),sum((offspring where !each.isEgg) collect each.count),(juvenil count true) + (migrant count each.isJuvenil),(adult count true) + (migrant count !each.isJuvenil),adult count each.slipped,adult count !each.slipped,catched_adult_tot,catched_juv_tot,eggs_tot,larva_tot,juv_tot,adult_tot,migrantJuv_tot,migrantAdult_tot
date ('2000-01-02 00:00:00'),0.95,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2000-01-02 00:00:00'),0.95,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2000-01-02 00:00:00'),0.95,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2001-01-02 00:00:00'),0.95,0,0,60,21,0,21,0,0,300,150,60,50,25,0
date ('2001-01-02 00:00:00'),0.95,0,0,0,28,0,28,0,0,0,0,0,50,0,0
date ('2001-01-02 00:00:00'),0.95,0,0,60,28,0,28,0,0,300,150,60,50,24,0
date ('2002-01-02 00:00:00'),0.95,0,0,515,134,0,134,0,0,5700,2850,840,190,304,0
date ('2002-01-02 00:00:00'),0.95,0,0,233,70,0,70,0,0,2100,1050,383,108,151,0
date ('2002-01-02 00:00:00'),0.95,0,0,554,128,0,128,0,0,7200,3600,881,174,318,0
date ('2003-01-02 00:00:00'),0.95,0,0,0,187,0,187,0,0,52200,26100,840,427,304,0
date ('2003-01-02 00:00:00'),0.95,0,0,446,202,0,202,0,0,24600,12300,1321,409,519,0
date ('2003-01-02 00:00:00'),0.95,0,0,976,159,0,159,0,0,46200,23100,1868,390,693,0
date ('2004-01-02 00:00:00'),0.95,0,0,231,117,0,117,0,0,53700,26850,1131,448,426,0
date ('2004-01-02 00:00:00'),0.95,0,0,465,262,0,262,0,0,68100,34050,2081,706,812,0
date ('2004-01-02 00:00:00'),0.95,0,0,1251,282,0,282,0,0,100800,50400,3119,790,1147,0
date ('2005-01-02 00:00:00'),0.95,0,0,982,119,0,119,0,0,77100,38550,2176,557,818,0
date ('2005-01-02 00:00:00'),0.95,0,0,423,565,0,565,0,0,105900,52950,3974,1479,1514,0
date ('2005-01-02 00:00:00'),0.95,0,0,1295,532,0,532,0,0,190500,95250,4929,1528,1819,0
date ('2006-01-02 00:00:00'),0.95,0,0,359,271,0,271,0,0,130500,65250,2532,930,933,0
date ('2006-01-02 00:00:00'),0.95,0,0,767,389,0,389,0,0,189000,94500,4741,1638,1773,0
date ('2006-01-02 00:00:00'),0.95,0,0,1972,525,0,525,0,0,297300,148650,6899,2061,2568,0
date ('2007-01-02 00:00:00'),0.95,0,0,763,450,0,450,0,0,157800,78900,3908,1308,1445,0
date ('2007-01-02 00:00:00'),0.95,0,0,176,769,0,769,0,0,235800,117900,5949,2350,2195,0
date ('2007-01-02 00:00:00'),0.95,0,0,1329,676,0,676,0,0,437400,218700,8223,2871,3049,0
date ('2008-01-02 00:00:00'),0.95,0,0,274,601,0,601,0,0,237000,118500,4784,1823,1781,0
date ('2008-01-02 00:00:00'),0.95,0,0,1673,459,0,459,0,0,324900,162450,7731,2461,2839,0
date ('2008-01-02 00:00:00'),0.95,0,0,2053,742,0,742,0,0,533700,266850,10543,3542,3910,0
date ('2009-01-02 00:00:00'),0.95,0,0,120,906,0,906,0,0,293100,146550,6525,2574,2421,0
date ('2009-01-02 00:00:00'),0.95,0,0,63,1000,0,1000,0,0,442500,221250,8959,3622,3313,0
date ('2009-01-02 00:00:00'),0.95,0,0,1523,1065,0,1065,0,0,705600,352800,12848,4680,4746,0
date ('2010-01-02 00:00:00'),0.95,0,0,978,724,0,724,0,0,405000,202500,8152,2877,2976,0
date ('2010-01-02 00:00:00'),0.95,0,0,1158,1276,0,1276,0,0,525900,262950,12173,4493,4540,0
date ('2010-01-02 00:00:00'),0.95,0,0,548,1204,0,1204,0,0,869100,434550,14427,5692,5345,0
date ('2011-01-02 00:00:00'),0.95,0,0,363,543,0,543,0,0,511200,255600,8507,3286,3102,0
date ('2011-01-02 00:00:00'),0.95,0,0,1601,874,0,874,0,0,730200,365100,13765,4976,5086,0
date ('2011-01-02 00:00:00'),0.95,0,0,1263,702,0,702,0,0,993900,496950,15678,5890,5770,0
date ('2012-01-02 00:00:00'),0.95,0,0,2025,369,0,369,0,0,555300,277650,10524,3427,3881,0
date ('2012-01-02 00:00:00'),0.95,0,0,1852,720,0,720,0,0,846000,423000,15608,5589,5744,0
date ('2012-01-02 00:00:00'),0.95,0,0,965,587,0,587,0,0,1107000,553500,16629,6384,6121,0
date ('2013-01-02 00:00:00'),0.95,0,0,963,629,0,629,0,0,701700,350850,11573,4249,4274,0
date ('2013-01-02 00:00:00'),0.95,0,0,907,735,0,735,0,0,996600,498300,16505,6325,6112,0
date ('2013-01-02 00:00:00'),0.95,0,0,1433,497,0,497,0,0,1188300,594150,18047,6763,6643,0
date ('2014-01-02 00:00:00'),0.95,0,0,1390,578,0,578,0,0,773700,386850,13383,4822,4971,0
date ('2014-01-02 00:00:00'),0.95,0,0,3258,758,0,758,0,0,1075200,537600,20835,7109,7704,0
date ('2014-01-02 00:00:00'),0.95,0,0,1920,566,0,566,0,0,1293900,646950,20238,7440,7446,0
date ('2015-01-02 00:00:00'),0.95,0,0,2009,570,0,570,0,0,897300,448650,15379,5374,5723,0
date ('2015-01-02 00:00:00'),0.95,0,0,2542,1027,0,1027,0,0,1349100,674550,23363,8424,8643,0
date ('2015-01-02 00:00:00'),0.95,0,0,1773,698,0,698,0,0,1441200,720600,21992,8235,8062,0
date ('2016-01-02 00:00:00'),0.95,0,0,409,1115,0,1115,0,0,1026300,513150,16909,6659,6291,0
date ('2016-01-02 00:00:00'),0.95,0,0,1467,1428,0,1428,0,0,1519800,759900,25909,9815,9537,0
date ('2016-01-02 00:00:00'),0.95,0,0,1059,1166,0,1166,0,0,1564200,782100,24103,9383,8851,0
date ('2017-01-02 00:00:00'),0.95,0,0,506,640,0,640,0,0,1146300,573150,17398,6806,6465,0
date ('2017-01-02 00:00:00'),0.95,0,0,733,1014,0,1014,0,0,1736700,868350,26627,10402,9795,0
date ('2017-01-02 00:00:00'),0.95,0,0,1179,793,0,793,0,0,1729800,864900,25260,9801,9293,0
date ('2018-01-02 00:00:00'),0.95,0,0,134,599,0,599,0,0,1204500,602250,18015,7211,6710,0
date ('2018-01-02 00:00:00'),0.95,0,0,376,769,0,769,0,0,1819800,909900,27343,10806,10050,0
date ('2018-01-02 00:00:00'),0.95,0,0,205,610,0,610,0,0,1830000,915000,25440,10275,9356,0
date ('2019-01-02 00:00:00'),0.95,0,0,878,310,0,310,0,0,1276500,638250,18875,7257,7021,0
date ('2019-01-02 00:00:00'),0.95,0,0,2258,527,0,527,0,0,1910100,955050,29722,11001,10902,0
date ('2019-01-02 00:00:00'),0.95,0,0,1971,369,0,369,0,0,1877100,938550,27417,10360,10078,0
date ('2020-01-02 00:00:00'),0.95,0,0,1879,428,0,428,0,0,1342500,671250,21369,7874,7939,0
date ('2020-01-02 00:00:00'),0.95,0,0,2227,908,0,908,0,0,2065500,1032750,32996,12334,12121,0
date ('2020-01-02 00:00:00'),0.95,0,0,1941,560,0,560,0,0,2016000,1008000,29332,11149,10746,0
date ('2021-01-02 00:00:00'),0.95,0,0,1128,298,19,279,522,0,1473900,736950,23065,8816,8585,0
date ('2021-01-02 00:00:00'),0.95,0,0,2354,860,32,828,609,0,2251200,1125600,36909,13845,13564,0
date ('2021-01-02 00:00:00'),0.95,0,0,1531,351,30,321,509,0,2147400,1073700,31277,12093,11464,0
date ('2022-01-02 00:00:00'),0.95,0,0,664,51,4,47,1027,0,1483800,741900,23706,9245,8814,0
date ('2022-01-02 00:00:00'),0.95,0,0,754,705,8,697,883,0,2417700,1208850,37639,14773,13819,0
date ('2022-01-02 00:00:00'),0.95,0,0,1425,90,8,82,1139,0,2172000,1086000,32675,12688,12015,0
date ('2023-01-02 00:00:00'),0.95,0,0,856,27,0,27,1280,0,1488600,744300,24538,9507,9115,0
date ('2023-01-02 00:00:00'),0.95,0,0,2757,383,0,383,1137,0,2437800,1218900,40371,15049,14799,0
date ('2023-01-02 00:00:00'),0.95,0,0,1549,84,0,84,1612,0,2190600,1095300,34196,13239,12582,0
date ('2024-01-02 00:00:00'),0.95,0,0,297,144,2,142,1492,0,1505400,752700,24991,9913,9283,0
date ('2024-01-02 00:00:00'),0.95,0,0,380,631,1,630,1392,0,2607600,1303800,40784,16153,14936,0
date ('2024-01-02 00:00:00'),0.95,0,0,274,347,1,346,2038,0,2217900,1108950,35072,14065,12908,0
date ('2025-01-02 00:00:00'),0.95,0,0,84,107,4,103,1626,0,1523400,761700,25231,10086,9370,0
date ('2025-01-02 00:00:00'),0.95,0,0,899,389,0,389,1418,0,2629800,1314900,41656,16282,15260,0
date ('2025-01-02 00:00:00'),0.95,0,0,278,123,14,109,2407,0,2239800,1119900,35678,14317,13112,0
date ('2026-01-02 00:00:00'),0.95,0,0,220,67,0,67,1675,0,1533600,766800,25547,10157,9503,0
date ('2026-01-02 00:00:00'),0.95,0,0,2156,363,0,363,1424,0,2732400,1366200,43841,16644,16112,0
date ('2026-01-02 00:00:00'),0.95,0,0,373,110,1,109,2493,0,2262000,1131000,36202,14500,13321,0
date ('2027-01-02 00:00:00'),0.95,0,0,85,68,0,68,1703,0,1549800,774900,25667,10249,9546,0
date ('2027-01-02 00:00:00'),0.95,0,0,150,811,0,811,1430,0,2870700,1435350,44490,17735,16363,0
date ('2027-01-02 00:00:00'),0.95,0,0,285,136,1,135,2501,0,2283600,1141800,36530,14656,13449,0
date ('2028-01-02 00:00:00'),0.95,0,0,86,41,0,41,1706,0,1555800,777900,25727,10270,9567,0
date ('2028-01-02 00:00:00'),0.95,0,0,1141,425,0,425,1434,0,2934300,1467150,45601,17794,16755,0
date ('2028-01-02 00:00:00'),0.95,0,0,89,113,0,113,2508,0,2307300,1153650,36590,14751,13478,0
date ('2029-01-02 00:00:00'),0.95,0,0,26,30,0,30,1706,0,1565400,782700,25727,10295,9567,0
date ('2029-01-02 00:00:00'),0.95,0,0,30,431,1,430,1437,0,3032400,1516200,45601,18239,16755,0
date ('2029-01-02 00:00:00'),0.95,0,0,118,72,0,72,2510,0,2314800,1157400,36678,14781,13509,0
date ('2030-01-02 00:00:00'),0.95,0,0,271,16,0,16,1706,0,1566900,783450,25972,10295,9658,0
date ('2030-01-02 00:00:00'),0.95,0,0,1849,228,0,228,1437,0,3047100,1523550,47420,18239,17420,0
date ('2030-01-02 00:00:00'),0.95,0,0,200,48,0,48,2511,0,2328000,1164000,36848,14813,13584,0
date ('2031-01-02 00:00:00'),0.95,0,0,291,50,0,50,1709,0,1580100,790050,26236,10381,9762,0
date ('2031-01-02 00:00:00'),0.95,0,0,2763,494,0,494,1444,0,3185700,1592850,50185,18982,18453,0
date ('2031-01-02 00:00:00'),0.95,0,0,303,55,0,55,2511,0,2342700,1171350,37121,14886,13689,0
date ('2032-01-02 00:00:00'),0.95,0,0,143,70,0,70,1718,0,1595700,797850,26352,10477,9798,0
date ('2032-01-02 00:00:00'),0.95,0,0,689,787,0,787,1452,0,3344400,1672200,50866,20058,18699,0
date ('2032-01-02 00:00:00'),0.95,0,0,147,130,0,130,2517,0,2360400,1180200,37417,15052,13799,0
date ('2033-01-02 00:00:00'),0.95,0,0,87,73,0,73,1720,0,1606200,803100,26440,10533,9836,0
date ('2033-01-02 00:00:00'),0.95,0,0,1429,872,0,872,1460,0,3429600,1714800,53107,20692,19557,0
date ('2033-01-02 00:00:00'),0.95,0,0,149,188,0,188,2532,0,2378400,1189200,37785,15206,13933,0
date ('2034-01-02 00:00:00'),0.95,0,0,87,53,0,53,1723,0,1615500,807750,26500,10561,9865,0
date ('2034-01-02 00:00:00'),0.95,0,0,129,700,0,700,1464,0,3594000,1797000,53195,21243,19592,0
date ('2034-01-02 00:00:00'),0.95,0,0,33,119,0,119,2534,0,2403300,1201650,37785,15254,13933,0
date ('2035-01-02 00:00:00'),0.95,0,0,27,42,0,42,1724,0,1620900,810450,26528,10587,9879,0
date ('2035-01-02 00:00:00'),0.95,0,0,223,1312,0,1312,1464,0,3618300,1809150,55736,22203,20525,0
date ('2035-01-02 00:00:00'),0.95,0,0,93,88,0,88,2534,0,2408700,1204350,37904,15281,13976,0
date ('2036-01-02 00:00:00'),0.95,0,0,291,24,0,24,1725,0,1625400,812700,26792,10587,9974,0
date ('2036-01-02 00:00:00'),0.95,0,0,859,682,0,682,1476,0,3798900,1899450,56560,22283,20816,0
date ('2036-01-02 00:00:00'),0.95,0,0,189,52,0,52,2534,0,2424600,1212300,38060,15305,14030,0
date ('2037-01-02 00:00:00'),0.95,0,0,28,99,0,99,1736,0,1638900,819450,26960,10738,10031,0
date ('2037-01-02 00:00:00'),0.95,0,0,104,1061,0,1061,1478,0,3853500,1926750,58248,23266,21448,0
date ('2037-01-02 00:00:00'),0.95,0,0,93,92,0,92,2534,0,2432100,1216050,38232,15409,14085,0
date ('2038-01-02 00:00:00'),0.95,0,0,172,49,0,49,1736,0,1648800,824400,27104,10738,10087,0
date ('2038-01-02 00:00:00'),0.95,0,0,2290,690,0,690,1482,0,3986400,1993200,60892,23460,22500,0
date ('2038-01-02 00:00:00'),0.95,0,0,260,154,0,154,2539,0,2448000,1224000,38693,15538,14258,0
date ('2039-01-02 00:00:00'),0.95,0,0,29,61,0,61,1736,0,1662000,831000,27104,10792,10087,0
date ('2039-01-02 00:00:00'),0.95,0,0,45,801,0,801,1492,0,4146900,2073450,60892,24357,22500,0
date ('2039-01-02 00:00:00'),0.95,0,0,34,130,0,130,2550,0,2478000,1239000,38693,15629,14258,0
date ('2040-01-02 00:00:00'),0.95,0,0,323,33,0,33,1736,0,1665000,832500,27398,10792,10194,0
date ('2040-01-02 00:00:00'),0.95,0,0,2317,412,0,412,1492,0,4177500,2088750,63164,24357,23326,0
date ('2040-01-02 00:00:00'),0.95,0,0,404,73,0,73,2550,0,2482200,1241100,39063,15629,14405,0
date ('2041-01-02 00:00:00'),0.95,0,0,293,75,0,75,1742,0,1684200,842100,27662,10908,10274,0
date ('2041-01-02 00:00:00'),0.95,0,0,1897,674,0,674,1496,0,4355700,2177850,65014,25236,23990,0
date ('2041-01-02 00:00:00'),0.95,0,0,62,105,0,105,2558,0,2514600,1257300,39091,15764,14415,0
date ('2042-01-02 00:00:00'),0.95,0,0,229,84,0,84,1750,0,1700400,850200,27862,11016,10348,0
date ('2042-01-02 00:00:00'),0.95,0,0,1054,689,0,689,1503,0,4465800,2232900,66017,25985,24349,0
date ('2042-01-02 00:00:00'),0.95,0,0,153,62,0,62,2559,0,2517900,1258950,39210,15773,14468,0
date ('2043-01-02 00:00:00'),0.95,0,0,270,94,0,94,1753,0,1717500,858750,28103,11112,10435,0
date ('2043-01-02 00:00:00'),0.95,0,0,1676,537,0,537,1504,0,4570800,2285400,67642,26354,24978,0
date ('2043-01-02 00:00:00'),0.95,0,0,439,41,0,41,2559,0,2535000,1267500,39615,15820,14626,0
date ('2044-01-02 00:00:00'),0.95,0,0,89,160,0,160,1768,0,1736100,868050,28316,11276,10519,0
date ('2044-01-02 00:00:00'),0.95,0,0,233,1246,1,1245,1511,0,4693800,2346900,69485,27660,25676,0
date ('2044-01-02 00:00:00'),0.95,0,0,34,123,0,123,2567,0,2559300,1279650,39643,15990,14637,0
date ('2045-01-02 00:00:00'),0.95,0,0,29,98,0,98,1769,0,1751100,875550,28316,11296,10519,0
date ('2045-01-02 00:00:00'),0.95,0,0,673,628,0,628,1512,0,4829400,2414700,70105,27735,25916,0
date ('2045-01-02 00:00:00'),0.95,0,0,387,53,0,53,2567,0,2565900,1282950,39996,15990,14782,0
date ('2046-01-02 00:00:00'),0.95,0,0,89,53,0,53,1769,0,1757700,878850,28376,11296,10540,0
date ('2046-01-02 00:00:00'),0.95,0,0,114,676,0,676,1517,0,4893600,2446800,70850,28244,26209,0
date ('2046-01-02 00:00:00'),0.95,0,0,35,117,0,117,2577,0,2594100,1297050,40056,16162,14805,0
date ('2047-01-02 00:00:00'),0.95,0,0,29,31,0,31,1769,0,1765200,882600,28376,11317,10540,0
date ('2047-01-02 00:00:00'),0.95,0,0,1450,463,0,463,1523,0,4969500,2484750,72526,28382,26848,0
date ('2047-01-02 00:00:00'),0.95,0,0,295,51,1,50,2615,0,2595900,1297950,40376,16188,14920,0
date ('2048-01-02 00:00:00'),0.95,0,0,145,16,0,16,1769,0,1766400,883200,28492,11317,10588,0
date ('2048-01-02 00:00:00'),0.95,0,0,2352,541,0,541,1523,0,5085300,2542650,74876,28970,27771,0
date ('2048-01-02 00:00:00'),0.95,0,0,191,75,0,75,2619,0,2616600,1308300,40532,16290,14979,0
date ('2049-01-02 00:00:00'),0.95,0,0,197,40,0,40,1772,0,1771500,885750,28713,11370,10677,0
date ('2049-01-02 00:00:00'),0.95,0,0,1455,886,0,886,1526,0,5243700,2621850,76730,30098,28465,0
date ('2049-01-02 00:00:00'),0.95,0,0,95,62,0,62,2619,0,2627400,1313700,40592,16347,15001,0
date ('2000-01-02 00:00:00'),0.8,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2000-01-02 00:00:00'),0.8,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2000-01-02 00:00:00'),0.8,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2001-01-02 00:00:00'),0.8,0,0,0,26,0,26,0,0,0,0,0,50,0,0
date ('2001-01-02 00:00:00'),0.8,0,0,0,27,0,27,0,0,0,0,0,50,0,0
date ('2001-01-02 00:00:00'),0.8,0,0,0,27,0,27,0,0,0,0,0,50,0,0
date ('2002-01-02 00:00:00'),0.8,0,0,353,44,0,44,0,0,2400,1200,458,79,177,0
date ('2002-01-02 00:00:00'),0.8,0,0,339,103,0,103,0,0,3000,1500,539,141,208,0
date ('2002-01-02 00:00:00'),0.8,0,0,176,131,0,131,0,0,2700,1350,465,167,172,0
date ('2003-01-02 00:00:00'),0.8,0,0,629,191,0,191,0,0,25500,12750,1557,404,569,0
date ('2003-01-02 00:00:00'),0.8,0,0,751,216,0,216,0,0,37800,18900,1696,441,631,0
date ('2003-01-02 00:00:00'),0.8,0,0,732,170,0,170,0,0,26400,13200,1580,402,595,0
date ('2004-01-02 00:00:00'),0.8,0,0,305,303,0,303,0,0,69000,34500,2206,795,813,0
date ('2004-01-02 00:00:00'),0.8,0,0,498,350,0,350,0,0,90300,45150,2545,919,954,0
date ('2004-01-02 00:00:00'),0.8,0,0,301,291,0,291,0,0,76500,38250,2111,771,791,0
date ('2005-01-02 00:00:00'),0.8,0,0,708,557,0,557,0,0,102600,51300,4210,1430,1589,0
date ('2005-01-02 00:00:00'),0.8,0,0,563,541,0,541,0,0,140400,70200,4204,1599,1536,0
date ('2005-01-02 00:00:00'),0.8,0,0,626,407,0,407,0,0,109200,54600,3629,1241,1358,0
date ('2006-01-02 00:00:00'),0.8,0,0,1452,424,0,424,0,0,188700,94350,5655,1711,2111,0
date ('2006-01-02 00:00:00'),0.8,0,0,571,377,0,377,0,0,217200,108600,4770,1834,1765,0
date ('2006-01-02 00:00:00'),0.8,0,0,1387,329,0,329,0,0,188400,94200,5013,1478,1878,0
date ('2007-01-02 00:00:00'),0.8,0,0,415,707,0,707,0,0,277200,138600,6569,2496,2453,0
date ('2007-01-02 00:00:00'),0.8,0,0,181,902,0,902,0,0,254100,127050,6482,2658,2412,0
date ('2007-01-02 00:00:00'),0.8,0,0,184,608,0,608,0,0,282600,141300,5562,2213,2087,0
date ('2008-01-02 00:00:00'),0.8,0,0,1335,433,0,433,0,0,353700,176850,7932,2672,2944,0
date ('2008-01-02 00:00:00'),0.8,0,0,1900,522,0,522,0,0,377400,188700,8483,2773,3156,0
date ('2008-01-02 00:00:00'),0.8,0,0,1679,367,0,367,0,0,335100,167550,7411,2344,2772,0
date ('2009-01-02 00:00:00'),0.8,0,0,734,964,0,964,0,0,448800,224400,9875,3648,3692,0
date ('2009-01-02 00:00:00'),0.8,0,0,72,989,0,989,0,0,496500,248250,9565,3923,3552,0
date ('2009-01-02 00:00:00'),0.8,0,0,66,1235,0,1235,0,0,458700,229350,9311,3768,3485,0
date ('2010-01-02 00:00:00'),0.8,0,0,941,1303,0,1303,0,0,576900,288450,12514,4649,4652,0
date ('2010-01-02 00:00:00'),0.8,0,0,1078,813,0,813,0,0,582600,291300,11438,4253,4241,0
date ('2010-01-02 00:00:00'),0.8,0,0,1051,788,0,788,0,0,571800,285900,10775,3969,4024,0
date ('2011-01-02 00:00:00'),0.8,0,0,537,846,0,846,0,0,756900,378450,13036,5013,4864,0
date ('2011-01-02 00:00:00'),0.8,0,0,100,589,0,589,0,0,721200,360600,11526,4683,4271,0
date ('2011-01-02 00:00:00'),0.8,0,0,219,573,0,573,0,0,677100,338550,10987,4368,4100,0
date ('2012-01-02 00:00:00'),0.8,0,0,1189,550,0,550,0,0,815700,407850,14209,5226,5286,0
date ('2012-01-02 00:00:00'),0.8,0,0,2392,321,0,321,0,0,749700,374850,13906,4719,5202,0
date ('2012-01-02 00:00:00'),0.8,0,0,2201,325,0,325,0,0,713400,356700,13181,4445,4902,0
date ('2013-01-02 00:00:00'),0.8,0,0,1342,505,0,505,0,0,926700,463350,15535,5697,5793,0
date ('2013-01-02 00:00:00'),0.8,0,0,1072,744,0,744,0,0,923400,461700,15122,5742,5681,0
date ('2013-01-02 00:00:00'),0.8,0,0,1675,714,0,714,0,0,863400,431700,15145,5440,5653,0
date ('2014-01-02 00:00:00'),0.8,0,0,1684,542,0,542,0,0,1020000,510000,17423,6292,6532,0
date ('2014-01-02 00:00:00'),0.8,0,0,874,831,0,831,0,0,1002000,501000,16989,6593,6411,0
date ('2014-01-02 00:00:00'),0.8,0,0,889,767,0,767,0,0,985500,492750,16274,6186,6083,0
date ('2015-01-02 00:00:00'),0.8,0,0,2574,621,0,621,0,0,1152900,576450,20160,7039,7552,0
date ('2015-01-02 00:00:00'),0.8,0,0,1430,574,0,574,0,0,1124700,562350,18401,6953,6946,0
date ('2015-01-02 00:00:00'),0.8,0,0,1751,622,0,622,0,0,1076400,538200,18262,6621,6811,0
date ('2016-01-02 00:00:00'),0.8,0,0,428,1512,0,1512,0,0,1321500,660750,22273,8747,8344,0
date ('2016-01-02 00:00:00'),0.8,0,0,352,986,0,986,0,0,1229700,614850,19725,7918,7456,0
date ('2016-01-02 00:00:00'),0.8,0,0,345,1178,0,1178,0,0,1213200,606600,19896,7828,7424,0
date ('2017-01-02 00:00:00'),0.8,0,0,815,902,0,902,0,0,1480800,740400,23066,8915,8634,0
date ('2017-01-02 00:00:00'),0.8,0,0,232,591,0,591,0,0,1333500,666750,19935,8053,7539,0
