self.name,current_date,probabilityCatch,sum((offspring where each.isEgg) collect each.count),sum((offspring where !each.isEgg) collect each.count),(juvenil count true) + (migrant count each.isJuvenil),(adult count true) + (migrant count !each.isJuvenil),adult count each.slipped,adult count !each.slipped,catched_adult_tot,catched_juv_tot,eggs_tot,larva_tot,juv_tot,adult_tot,migrantJuv_tot,migrantAdult_tot,'\"',occupiedPonds_list,'\"'
Simulation 0,date ('2006-01-01 00:00:00'),0.95,0,0,1048,502,0,502,0,0,240300,120150,5949,2050,2220,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(19),pond(126),pond(144)],"
Simulation 1,date ('2006-01-01 00:00:00'),0.95,0,0,961,468,0,468,0,0,249000,124500,5720,1975,2151,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(19),pond(126),pond(131),pond(144)],"
Simulation 2,date ('2006-01-01 00:00:00'),0.95,0,0,1702,335,0,335,0,0,179100,89550,5333,1490,1980,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(126),pond(131)],"
Simulation 3,date ('2006-01-01 00:00:00'),0.95,0,0,573,682,0,682,0,0,307800,153900,5926,2230,2184,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(18),pond(19),pond(125),pond(126)],"
Simulation 4,date ('2006-01-01 00:00:00'),0.95,0,0,1084,375,0,375,0,0,202500,101250,4712,1535,1749,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(126)],"
Simulation 0,date ('2007-01-01 00:00:00'),0.95,0,0,1757,478,0,478,0,0,307500,153750,7700,2463,2895,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(17),pond(125),pond(126)],"
Simulation 1,date ('2007-01-01 00:00:00'),0.95,0,0,1194,436,0,436,0,0,322800,161400,6908,2374,2587,0,",[pond(0),pond(7),pond(8),pond(9),pond(10),pond(14),pond(19),pond(131)],"
Simulation 2,date ('2007-01-01 00:00:00'),0.95,0,0,645,539,0,539,0,0,286200,143100,5973,2196,2232,0,",[pond(0),pond(1),pond(8),pond(9),pond(10),pond(14),pond(19),pond(125),pond(126),pond(131),pond(144)],"
Simulation 3,date ('2007-01-01 00:00:00'),0.95,0,0,2860,464,0,464,0,0,347400,173700,8778,2453,3227,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(18),pond(19),pond(125),pond(126),pond(129),pond(132)],"
Simulation 4,date ('2007-01-01 00:00:00'),0.95,0,0,928,410,0,410,0,0,269400,134700,5638,1958,2094,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(125),pond(126)],"
Simulation 0,date ('2008-01-01 00:00:00'),0.95,0,0,2234,573,0,573,0,0,440100,220050,9927,3170,3729,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(125),pond(126)],"
Simulation 1,date ('2008-01-01 00:00:00'),0.95,0,0,1692,640,0,640,0,0,415200,207600,8951,2995,3372,0,",[pond(0),pond(7),pond(8),pond(9),pond(10),pond(14),pond(19),pond(126),pond(127)],"
Simulation 2,date ('2008-01-01 00:00:00'),0.95,0,0,1935,451,0,451,0,0,335100,167550,8038,2505,2989,0,",[pond(0),pond(1),pond(8),pond(9),pond(10),pond(14),pond(16),pond(19),pond(125),pond(126),pond(144)],"
Simulation 3,date ('2008-01-01 00:00:00'),0.95,0,0,1406,1146,0,1146,0,0,565200,282600,10980,3935,4066,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(18),pond(125),pond(126),pond(132),pond(133),pond(144)],"
Simulation 4,date ('2008-01-01 00:00:00'),0.95,0,0,2030,552,0,552,0,0,340800,170400,8110,2504,2998,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(125),pond(126)],"
Simulation 0,date ('2009-01-01 00:00:00'),0.95,0,0,1711,727,0,727,0,0,587100,293550,11767,4080,4390,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(125),pond(126)],"
Simulation 1,date ('2009-01-01 00:00:00'),0.95,0,0,1800,689,0,689,0,0,560700,280350,10741,3701,4009,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(125),pond(126)],"
Simulation 2,date ('2009-01-01 00:00:00'),0.95,0,0,889,653,0,653,0,0,482100,241050,9029,3331,3348,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(126)],"
Simulation 3,date ('2009-01-01 00:00:00'),0.95,0,0,1621,1101,0,1101,0,0,698700,349350,13789,4950,5127,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(19),pond(125),pond(126)],"
Simulation 4,date ('2009-01-01 00:00:00'),0.95,0,0,1509,688,0,688,0,0,495900,247950,9613,3330,3574,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(19),pond(125),pond(126),pond(144)],"
Simulation 0,date ('2010-01-01 00:00:00'),0.95,0,0,2369,678,0,678,0,0,717900,358950,14122,4741,5258,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(18),pond(19),pond(125),pond(126),pond(129),pond(144)],"
Simulation 1,date ('2010-01-01 00:00:00'),0.95,0,0,1459,732,0,732,0,0,688800,344400,12188,4432,4581,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(125),pond(126)],"
Simulation 2,date ('2010-01-01 00:00:00'),0.95,0,0,1296,728,0,728,0,0,549300,274650,11405,4135,4221,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(19),pond(125),pond(126),pond(133)],"
Simulation 3,date ('2010-01-01 00:00:00'),0.95,0,0,3290,1049,0,1049,0,0,887400,443700,17863,5928,6650,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(19),pond(125),pond(126),pond(133),pond(144)],"
Simulation 4,date ('2010-01-01 00:00:00'),0.95,0,0,1485,641,0,641,0,0,603900,301950,11141,3960,4136,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(19),pond(125),pond(126),pond(133),pond(144)],"
Simulation 0,date ('2011-01-01 00:00:00'),0.95,0,0,470,792,0,792,0,0,888000,444000,14575,5668,5425,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(18),pond(125),pond(126),pond(131)],"
Simulation 1,date ('2011-01-01 00:00:00'),0.95,0,0,284,664,0,664,0,0,806100,403050,12458,5013,4681,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(126),pond(144)],"
Simulation 2,date ('2011-01-01 00:00:00'),0.95,0,0,274,639,0,639,0,0,700200,350100,11669,4649,4316,0,",[pond(0),pond(8),pond(9),pond(10),pond(14),pond(16),pond(125),pond(126),pond(129),pond(130),pond(144)],"
